index,name,synopsis,genre,netflix,tiving
81,암살,때는 일제 치하의 1930년대. 대한민국 임시 정부의 밀명을 받고 친일파 암살 작전에 돌입한 세 사람. 이들은 미처 알지 못했다. 배신자가 아주 가까이에 있다는 것을.,"시대물, 액션 & 어드벤처",1,0
82,고양이는 왜 고양이일까?,와락 달려들었다가도 획 돌아서는 고양이. 전문가들이 고양이의 수수께끼 같은 마음속으로 파고들어 이들의 진정한 능력을 밝혀본다. 고양이에 대한 매혹적이고 사랑스러운 다큐멘터리.,"다큐멘터리 영화, 미국 영화, 어린이 & 가족 영화",1,0
83,고지전,"최전방 애록고지에서 전사한 중대장의 시신에서 아군의 총알이 발견됐다. 진실을 파헤치기 위해 악어부대로 파견된 강은표 중위. 생사도 몰랐던 오랜 친구와의 재회도 잠시, 하루에도 몇십 명이 죽어 나가는 고지전의 실체와 마주한다.","밀리터리 영화, 드라마 장르",1,0
84,벼랑 위의 포뇨,"따분한 바다 생활이 싫어 가출한 물고기 공주 포뇨. 벼랑 위에 사는 인간 꼬마 소스케를 만나 친구가 된다. 온 바다가 들썩들썩 포뇨를 찾아 나서지만, 이 고집불통 물고기의 소원은 오직 하나. 포뇨도 소스케처럼 인간이 될 거야!","일본 작품, 가족 영화, 애니메이션 영화",1,0
85,고스트 워,보이지 않는 적의 출현으로 인해 유럽의 거리는 초토화가 된다. 이 위기를 해결하기 위해 나선 엘리트 특수 작전 부대와 미지의 적과의 사투가 시작된다. 전율을 부르는 SF 스릴러.,"밀리터리 영화, SF 영화, 미국 영화",1,0
86,인터스텔라,인류 멸망이 목전에 닥친 미래. 우주비행사들이 웜홀을 통해 광활한 우주를 여행하며 인류가 살 수 있는 또 다른 행성을 찾아 나선다.,"SF 영화, 미국 영화, 액션 & 어드벤처",1,0
87,테이큰,"파리로 여행을 떠난 딸이 인신매매 조직에 납치되자, 전직 특수 요원인 아버지는 모든 수단을 동원해 사랑하는 딸을 구하려 한다. 그 어떤 대가를 치르는 한이 있더라도.","미국 영화, 액션 & 어드벤처",1,0
88,크리미널 스쿼드,"LA 시내에서 빈 현금 수송 차량이 탈취된다. 조직화된 은행 강도단의 소행으로 판단, 범죄수사대 리더가 조사에 나선다. 인정사정 안 봐주는 깡패 같은 형사와 지능적인 범죄 조직이 맞붙었다. 만만치 않은 양측의 팽팽한 대결, 그 끝은?","미국 영화, 액션 & 어드벤처",1,0
89,이웃집 토토로,엄마의 입원으로 두 어린 자매는 아빠와 함께 일본의 한 시골 마을에서 여름을 보내게 된다.,"일본 작품, 가족 영화, 애니메이션 영화",1,0
90,무간도,"조직에 위장 잠입한 경찰관, 경찰에 스파이로 투입된 조직원. 경찰과 조직에선 각각 내부 첩자가 있음을 눈치 채고. 첩자를 밝혀내려는 치열한 공방전 속에서 두 사람은 서로를 마주하게 되는데! 운명은 이들을 어디로 데려갈 것인가.","홍콩 작품, 중국 영화, 스릴러 영화",1,0
91,씨 비스트,전설적인 바다 괴물 사냥꾼의 배에 여자아이가 몰래 숨어든다. 이제 한배에 탄 둘은 미지의 바다를 향해 대장정의 항해를 떠나는데. 이들은 어떤 역사를 쓰게 될까.,"가족 영화, 미국 영화, 어린이 & 가족 영화",1,0
92,장고:분노의 추적자,악랄한 농장주의 손아귀에서 아내를 구하라. 자유의 몸이 된 장고가 독일인 현상금 사냥꾼과 함께 미 전역을 휩쓸며 아내 구출 작전에 나선다.,"사회 이슈 드라마 장르 영화, 미국 영화, 서부 영화",1,0
93,아이리시맨,"숱한 세월이 흐르고, 그가 입을 연다. 버팔리노 조직에 충성했던 암살자 프랭크 시런. 그가 봉인해온 비밀들이 세상에 드러난다. 격찬을 받은 마틴 스코세이지의 걸작.","미국 영화, 도서 원작 영화, 드라마 장르",1,0
